===============LOG-FTP===========
T9AE == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
T9TS == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
T9YY == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
TA8T == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
TAAD == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
TAAP == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
TADX == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
TALP == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
TAWA == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
TAWL == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
TAXN == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
TAYA == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
TAZB == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
TAZD == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
TB17 == The remote server returned an error: (500) Syntax error, command unrecognized.
TB1V == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
TB27 == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
TB2G == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
TB2J == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
TB4Z == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
TB54 == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
TB58 == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
TB6K == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
TBC6 == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
TBIG == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
TBPD == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
TBPJ == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
TBPN == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
TBWW == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
